numéro étudiant;nom étudiant;prénom étudiant
963874;Bourgeois;Suzanne
827191;Leroy;Élise
221197;Rousseau;Arnaude
151923;Martineau;Marine
740689;Dijoux;Brigitte
593161;Sauvage;Laurence
587796;Rodriguez;Arnaude
104981;Mercier;Marie
255920;Diallo;Michel
473955;Fleury;Corinne
349863;Bodin;Thibault
564094;Gomez;Édouard
908894;Rémy;Suzanne
334675;Millet;Claude
282545;Olivier;Emmanuel
101314;Garnier;Jeannine
445377;Lacroix;Virginie
126851;Vaillant;Louise
547319;Navarro;Joseph
876500;Thibault;Matthieu
811440;Mathieu;Timothée
579862;Imbert;Émilie
210567;Bègue;Monique
558214;Toussaint;André
899791;Lagarde;Thérèse
205999;Legrand;Agnès
344681;Moreau;Antoinette
825928;Maury;Émilie
385950;Salmon;Julie
737323;Roux;Auguste
